date,item_type,item_name,quantity,price,total_amount,season
2024-01-11,Dress,Summer Floral Dress,1,156.13,156.13,Winter
2024-01-11,Pants,Wide Leg Pants,2,142.67,285.34,Winter
2024-01-11,Dress,Casual Maxi Dress,2,69.31,138.62,Winter
2024-01-11,Pants,Business Trousers,1,95.78,95.78,Winter
2024-01-11,Blouse,Casual Top,1,52.68,52.68,Winter
2024-01-11,Blouse,Cotton Shirt,1,127.36,127.36,Winter
2024-01-12,Blouse,Cotton Shirt,3,88.33,264.99,Winter
2024-01-12,Dress,Evening Cocktail Dress,3,126.08,378.24,Winter
2024-01-12,Blouse,Cotton Shirt,2,124.93,249.86,Winter
2024-01-12,Pants,Jeans,2,150.39,300.78,Winter
2024-01-12,Dress,Business Formal Dress,3,159.13,477.39,Winter
2024-01-12,Blouse,Silk Blouse,3,118.38,355.14,Winter
2024-01-12,Blouse,Formal Blouse,1,100.46,100.46,Winter
2024-01-12,Dress,Casual Maxi Dress,3,182.93,548.79,Winter
2024-01-12,Dress,Summer Floral Dress,3,158.07,474.21,Winter
2024-01-12,Dress,Summer Floral Dress,2,93.84,187.68,Winter
2024-01-13,Dress,Evening Cocktail Dress,2,162.5,325.0,Winter
2024-01-13,Blouse,Formal Blouse,2,71.55,143.1,Winter
2024-01-13,Dress,Evening Cocktail Dress,1,154.75,154.75,Winter
2024-01-13,Dress,Summer Floral Dress,2,204.53,409.06,Winter
2024-01-13,Dress,Summer Floral Dress,3,145.87,437.61,Winter
2024-01-13,Dress,Casual Maxi Dress,2,122.95,245.9,Winter
2024-01-13,Dress,Casual Maxi Dress,3,147.64,442.91999999999996,Winter
2024-01-13,Blouse,Casual Top,1,117.67,117.67,Winter
2024-01-13,Pants,Business Trousers,3,162.71,488.13,Winter
2024-01-13,Dress,Evening Cocktail Dress,2,194.98,389.96,Winter
2024-01-13,Dress,Evening Cocktail Dress,3,106.05,318.15,Winter
2024-01-13,Dress,Business Formal Dress,1,63.89,63.89,Winter
2024-01-14,Pants,Wide Leg Pants,2,121.13,242.26,Winter
2024-01-14,Pants,Wide Leg Pants,2,134.91,269.82,Winter
2024-01-14,Pants,Wide Leg Pants,3,131.23,393.68999999999994,Winter
2024-01-14,Dress,Business Formal Dress,1,161.16,161.16,Winter
2024-01-14,Pants,Wide Leg Pants,1,168.08,168.08,Winter
2024-01-14,Dress,Evening Cocktail Dress,2,205.51,411.02,Winter
2024-01-14,Pants,Jeans,3,130.49,391.47,Winter
2024-01-14,Dress,Casual Maxi Dress,3,166.06,498.18,Winter
2024-01-14,Dress,Evening Cocktail Dress,1,185.33,185.33,Winter
2024-01-14,Dress,Evening Cocktail Dress,1,74.66,74.66,Winter
2024-01-14,Blouse,Silk Blouse,2,114.75,229.5,Winter
2024-01-14,Blouse,Silk Blouse,2,90.07,180.14,Winter
2024-01-14,Pants,Wide Leg Pants,1,123.22,123.22,Winter
2024-01-14,Blouse,Casual Top,3,67.93,203.79000000000002,Winter
2024-01-14,Dress,Summer Floral Dress,2,173.05,346.1,Winter
2024-01-15,Blouse,Formal Blouse,2,82.94,165.88,Winter
2024-01-15,Pants,Casual Pants,1,129.72,129.72,Winter
2024-01-15,Dress,Evening Cocktail Dress,2,131.19,262.38,Winter
2024-01-15,Dress,Casual Maxi Dress,1,157.73,157.73,Winter
2024-01-15,Pants,Business Trousers,1,108.45,108.45,Winter
2024-01-15,Pants,Wide Leg Pants,1,113.66,113.66,Winter
2024-01-15,Blouse,Silk Blouse,1,126.06,126.06,Winter
2024-01-15,Dress,Summer Floral Dress,2,109.73,219.46,Winter
2024-01-15,Dress,Casual Maxi Dress,3,197.41,592.23,Winter
2024-01-16,Pants,Wide Leg Pants,3,90.95,272.85,Winter
2024-01-16,Dress,Summer Floral Dress,3,164.58,493.74,Winter
2024-01-16,Dress,Summer Floral Dress,3,164.75,494.25,Winter
2024-01-16,Pants,Business Trousers,2,181.65,363.3,Winter
2024-01-16,Blouse,Casual Top,1,57.54,57.54,Winter
2024-01-16,Blouse,Casual Top,2,100.75,201.5,Winter
2024-01-16,Blouse,Casual Top,1,55.22,55.22,Winter
2024-01-16,Pants,Jeans,1,86.29,86.29,Winter
2024-01-16,Dress,Summer Floral Dress,1,181.93,181.93,Winter
2024-01-16,Dress,Evening Cocktail Dress,2,73.5,147.0,Winter
2024-01-16,Blouse,Formal Blouse,3,107.06,321.18,Winter
2024-01-16,Dress,Evening Cocktail Dress,2,74.46,148.92,Winter
2024-01-16,Blouse,Formal Blouse,3,52.62,157.85999999999999,Winter
2024-01-16,Dress,Evening Cocktail Dress,3,181.45,544.3499999999999,Winter
2024-01-16,Dress,Casual Maxi Dress,3,149.64,448.91999999999996,Winter
2024-01-17,Dress,Summer Floral Dress,1,71.64,71.64,Winter
2024-01-17,Pants,Casual Pants,3,112.33,336.99,Winter
2024-01-17,Blouse,Casual Top,3,114.03,342.09000000000003,Winter
2024-01-17,Dress,Evening Cocktail Dress,3,196.54,589.62,Winter
2024-01-17,Dress,Summer Floral Dress,2,201.18,402.36,Winter
2024-01-17,Pants,Business Trousers,1,108.84,108.84,Winter
2024-01-17,Blouse,Silk Blouse,1,125.32,125.32,Winter
2024-01-17,Blouse,Silk Blouse,2,102.74,205.48,Winter
2024-01-17,Pants,Wide Leg Pants,2,85.2,170.4,Winter
2024-01-17,Blouse,Cotton Shirt,3,110.79,332.37,Winter
2024-01-17,Blouse,Casual Top,1,114.31,114.31,Winter
2024-01-17,Blouse,Cotton Shirt,1,112.35,112.35,Winter
2024-01-17,Pants,Casual Pants,1,128.22,128.22,Winter
2024-01-18,Dress,Evening Cocktail Dress,3,165.8,497.40000000000003,Winter
2024-01-18,Pants,Jeans,2,149.46,298.92,Winter
2024-01-18,Blouse,Cotton Shirt,2,96.19,192.38,Winter
2024-01-18,Pants,Casual Pants,2,92.63,185.26,Winter
2024-01-18,Dress,Evening Cocktail Dress,3,128.58,385.74,Winter
2024-01-18,Blouse,Formal Blouse,1,90.89,90.89,Winter
2024-01-18,Dress,Summer Floral Dress,1,83.92,83.92,Winter
2024-01-18,Blouse,Silk Blouse,1,69.66,69.66,Winter
2024-01-19,Dress,Evening Cocktail Dress,3,155.41,466.23,Winter
2024-01-19,Pants,Casual Pants,3,96.72,290.15999999999997,Winter
2024-01-19,Pants,Casual Pants,1,97.79,97.79,Winter
2024-01-19,Pants,Wide Leg Pants,1,133.99,133.99,Winter
2024-01-19,Blouse,Silk Blouse,3,64.38,193.14,Winter
2024-01-19,Dress,Summer Floral Dress,2,113.03,226.06,Winter
2024-01-19,Dress,Evening Cocktail Dress,1,75.34,75.34,Winter
2024-01-19,Dress,Summer Floral Dress,2,114.63,229.26,Winter
2024-01-19,Blouse,Silk Blouse,1,89.27,89.27,Winter
2024-01-20,Pants,Business Trousers,3,92.77,278.31,Winter
2024-01-20,Dress,Evening Cocktail Dress,2,74.32,148.64,Winter
2024-01-20,Pants,Casual Pants,1,123.55,123.55,Winter
2024-01-20,Blouse,Casual Top,1,113.5,113.5,Winter
2024-01-20,Pants,Business Trousers,3,189.32,567.96,Winter
2024-01-20,Pants,Wide Leg Pants,2,135.13,270.26,Winter
2024-01-20,Pants,Jeans,1,132.75,132.75,Winter
2024-01-20,Blouse,Cotton Shirt,3,60.82,182.46,Winter
2024-01-20,Pants,Casual Pants,2,179.48,358.96,Winter
2024-01-20,Pants,Casual Pants,2,86.09,172.18,Winter
2024-01-20,Blouse,Cotton Shirt,3,91.61,274.83,Winter
2024-01-20,Dress,Casual Maxi Dress,2,117.76,235.52,Winter
2024-01-20,Pants,Business Trousers,2,173.6,347.2,Winter
2024-01-20,Blouse,Cotton Shirt,1,58.58,58.58,Winter
2024-01-20,Dress,Business Formal Dress,2,131.97,263.94,Winter
2024-01-20,Pants,Business Trousers,3,136.63,409.89,Winter
2024-01-21,Pants,Wide Leg Pants,3,146.15,438.45000000000005,Winter
2024-01-21,Blouse,Silk Blouse,2,76.0,152.0,Winter
2024-01-21,Blouse,Formal Blouse,1,77.49,77.49,Winter
2024-01-21,Blouse,Silk Blouse,1,123.7,123.7,Winter
2024-01-21,Blouse,Silk Blouse,3,61.23,183.69,Winter
2024-01-21,Blouse,Formal Blouse,2,56.03,112.06,Winter
2024-01-21,Pants,Wide Leg Pants,3,179.65,538.95,Winter
2024-01-21,Pants,Casual Pants,1,84.77,84.77,Winter
2024-01-21,Pants,Jeans,3,125.77,377.31,Winter
2024-01-21,Pants,Jeans,2,188.11,376.22,Winter
2024-01-21,Blouse,Formal Blouse,2,114.67,229.34,Winter
2024-01-21,Pants,Casual Pants,3,144.53,433.59000000000003,Winter
2024-01-21,Dress,Business Formal Dress,2,92.45,184.9,Winter
2024-01-21,Blouse,Casual Top,1,83.03,83.03,Winter
2024-01-21,Dress,Business Formal Dress,2,79.18,158.36,Winter
2024-01-21,Blouse,Casual Top,2,55.98,111.96,Winter
2024-01-21,Pants,Casual Pants,3,134.76,404.28,Winter
2024-01-21,Pants,Business Trousers,2,122.68,245.36,Winter
2024-01-21,Dress,Casual Maxi Dress,2,142.99,285.98,Winter
2024-01-21,Dress,Business Formal Dress,1,181.35,181.35,Winter
2024-01-21,Pants,Business Trousers,1,83.09,83.09,Winter
2024-01-21,Pants,Casual Pants,3,133.73,401.18999999999994,Winter
2024-01-22,Pants,Jeans,1,94.32,94.32,Winter
2024-01-22,Blouse,Casual Top,2,126.2,252.4,Winter
2024-01-22,Dress,Business Formal Dress,2,207.97,415.94,Winter
2024-01-22,Pants,Casual Pants,2,182.86,365.72,Winter
2024-01-22,Dress,Business Formal Dress,1,184.01,184.01,Winter
2024-01-22,Blouse,Casual Top,1,62.09,62.09,Winter
2024-01-22,Dress,Summer Floral Dress,2,96.95,193.9,Winter
2024-01-22,Blouse,Cotton Shirt,1,77.71,77.71,Winter
2024-01-22,Blouse,Silk Blouse,3,103.64,310.92,Winter
2024-01-22,Blouse,Casual Top,2,86.01,172.02,Winter
2024-01-22,Dress,Casual Maxi Dress,1,126.8,126.8,Winter
2024-01-23,Pants,Jeans,3,141.5,424.5,Winter
2024-01-23,Pants,Casual Pants,3,129.41,388.23,Winter
2024-01-23,Pants,Casual Pants,3,118.97,356.90999999999997,Winter
2024-01-23,Pants,Business Trousers,2,136.31,272.62,Winter
2024-01-23,Pants,Casual Pants,2,167.97,335.94,Winter
2024-01-23,Dress,Summer Floral Dress,3,166.23,498.68999999999994,Winter
2024-01-23,Pants,Business Trousers,2,86.42,172.84,Winter
2024-01-23,Blouse,Cotton Shirt,2,88.52,177.04,Winter
2024-01-23,Dress,Evening Cocktail Dress,3,183.02,549.0600000000001,Winter
2024-01-23,Pants,Wide Leg Pants,3,132.16,396.48,Winter
2024-01-24,Dress,Business Formal Dress,3,84.34,253.02,Winter
2024-01-24,Dress,Evening Cocktail Dress,3,64.09,192.27,Winter
2024-01-24,Pants,Wide Leg Pants,3,141.41,424.23,Winter
2024-01-24,Pants,Business Trousers,2,172.09,344.18,Winter
2024-01-24,Blouse,Casual Top,3,95.67,287.01,Winter
2024-01-24,Pants,Jeans,2,185.11,370.22,Winter
2024-01-24,Dress,Business Formal Dress,1,136.67,136.67,Winter
2024-01-24,Dress,Casual Maxi Dress,3,169.04,507.12,Winter
2024-01-24,Dress,Business Formal Dress,3,65.68,197.04000000000002,Winter
2024-01-25,Blouse,Silk Blouse,1,82.93,82.93,Winter
2024-01-25,Blouse,Casual Top,3,116.24,348.71999999999997,Winter
2024-01-25,Pants,Business Trousers,1,95.03,95.03,Winter
2024-01-25,Blouse,Cotton Shirt,3,63.91,191.73,Winter
2024-01-25,Dress,Summer Floral Dress,3,190.17,570.51,Winter
2024-01-25,Pants,Wide Leg Pants,3,148.45,445.34999999999997,Winter
2024-01-25,Dress,Summer Floral Dress,1,111.57,111.57,Winter
2024-01-25,Dress,Evening Cocktail Dress,3,111.32,333.96,Winter
2024-01-25,Dress,Evening Cocktail Dress,2,197.52,395.04,Winter
2024-01-25,Pants,Jeans,3,134.73,404.18999999999994,Winter
2024-01-26,Dress,Business Formal Dress,3,95.32,285.96,Winter
2024-01-26,Pants,Jeans,3,101.85,305.54999999999995,Winter
2024-01-26,Blouse,Silk Blouse,1,122.19,122.19,Winter
2024-01-26,Dress,Casual Maxi Dress,2,103.11,206.22,Winter
2024-01-26,Blouse,Silk Blouse,1,90.21,90.21,Winter
2024-01-26,Dress,Summer Floral Dress,2,144.22,288.44,Winter
2024-01-27,Dress,Evening Cocktail Dress,3,172.54,517.62,Winter
2024-01-27,Pants,Jeans,1,104.96,104.96,Winter
2024-01-27,Dress,Summer Floral Dress,3,117.83,353.49,Winter
2024-01-27,Blouse,Silk Blouse,3,111.04,333.12,Winter
2024-01-27,Blouse,Cotton Shirt,1,91.76,91.76,Winter
2024-01-27,Blouse,Cotton Shirt,3,93.77,281.31,Winter
2024-01-27,Dress,Business Formal Dress,3,188.98,566.9399999999999,Winter
2024-01-27,Pants,Wide Leg Pants,3,112.21,336.63,Winter
2024-01-27,Blouse,Cotton Shirt,3,81.7,245.10000000000002,Winter
2024-01-27,Pants,Wide Leg Pants,3,173.5,520.5,Winter
2024-01-27,Dress,Business Formal Dress,3,66.28,198.84,Winter
2024-01-27,Pants,Wide Leg Pants,3,103.98,311.94,Winter
2024-01-27,Dress,Business Formal Dress,3,77.6,232.79999999999998,Winter
2024-01-27,Dress,Casual Maxi Dress,3,192.76,578.28,Winter
2024-01-27,Blouse,Formal Blouse,2,68.45,136.9,Winter
2024-01-27,Blouse,Formal Blouse,1,126.01,126.01,Winter
2024-01-27,Blouse,Silk Blouse,3,81.51,244.53000000000003,Winter
2024-01-27,Blouse,Formal Blouse,1,99.66,99.66,Winter
2024-01-27,Pants,Business Trousers,1,85.67,85.67,Winter
2024-01-27,Pants,Wide Leg Pants,2,152.24,304.48,Winter
2024-01-27,Blouse,Silk Blouse,3,114.4,343.20000000000005,Winter
2024-01-27,Blouse,Formal Blouse,3,79.38,238.14,Winter
2024-01-27,Pants,Wide Leg Pants,1,172.51,172.51,Winter
2024-01-27,Blouse,Casual Top,2,93.16,186.32,Winter
2024-01-27,Dress,Business Formal Dress,2,94.57,189.14,Winter
2024-01-27,Blouse,Casual Top,2,60.21,120.42,Winter
2024-01-28,Blouse,Casual Top,3,127.83,383.49,Winter
2024-01-28,Dress,Evening Cocktail Dress,2,65.6,131.2,Winter
2024-01-28,Dress,Business Formal Dress,1,165.03,165.03,Winter
2024-01-28,Pants,Business Trousers,3,97.85,293.54999999999995,Winter
2024-01-28,Blouse,Casual Top,1,59.58,59.58,Winter
2024-01-28,Dress,Evening Cocktail Dress,3,102.33,306.99,Winter
2024-01-28,Blouse,Cotton Shirt,2,91.37,182.74,Winter
2024-01-28,Dress,Evening Cocktail Dress,1,72.17,72.17,Winter
2024-01-28,Dress,Evening Cocktail Dress,3,184.27,552.8100000000001,Winter
2024-01-28,Dress,Evening Cocktail Dress,3,82.88,248.64,Winter
2024-01-28,Dress,Casual Maxi Dress,2,190.76,381.52,Winter
2024-01-28,Dress,Summer Floral Dress,2,134.96,269.92,Winter
2024-01-28,Dress,Summer Floral Dress,2,123.86,247.72,Winter
2024-01-28,Blouse,Cotton Shirt,2,52.76,105.52,Winter
2024-01-28,Pants,Business Trousers,3,91.74,275.21999999999997,Winter
2024-01-29,Pants,Wide Leg Pants,3,181.68,545.04,Winter
2024-01-29,Pants,Wide Leg Pants,2,143.97,287.94,Winter
2024-01-29,Pants,Casual Pants,2,185.84,371.68,Winter
2024-01-29,Dress,Business Formal Dress,3,93.9,281.70000000000005,Winter
2024-01-29,Pants,Casual Pants,1,173.69,173.69,Winter
2024-01-29,Blouse,Formal Blouse,2,96.75,193.5,Winter
2024-01-29,Dress,Evening Cocktail Dress,1,132.01,132.01,Winter
2024-01-29,Dress,Business Formal Dress,1,169.34,169.34,Winter
2024-01-30,Dress,Casual Maxi Dress,1,150.25,150.25,Winter
2024-01-30,Pants,Casual Pants,1,171.26,171.26,Winter
2024-01-30,Pants,Jeans,3,83.37,250.11,Winter
2024-01-30,Dress,Business Formal Dress,1,180.99,180.99,Winter
2024-01-30,Dress,Summer Floral Dress,3,201.98,605.9399999999999,Winter
2024-01-31,Pants,Wide Leg Pants,1,151.81,151.81,Winter
2024-01-31,Pants,Business Trousers,2,157.57,315.14,Winter
2024-01-31,Dress,Evening Cocktail Dress,3,134.25,402.75,Winter
2024-01-31,Pants,Jeans,2,88.37,176.74,Winter
2024-01-31,Pants,Wide Leg Pants,3,159.0,477.0,Winter
2024-01-31,Dress,Casual Maxi Dress,2,144.0,288.0,Winter
2024-01-31,Blouse,Formal Blouse,1,51.72,51.72,Winter
2024-02-01,Pants,Business Trousers,2,103.6,207.2,Winter
2024-02-01,Pants,Casual Pants,3,168.7,506.09999999999997,Winter
2024-02-01,Blouse,Casual Top,2,116.56,233.12,Winter
2024-02-01,Pants,Jeans,2,152.41,304.82,Winter
2024-02-01,Pants,Wide Leg Pants,1,107.64,107.64,Winter
2024-02-01,Blouse,Formal Blouse,2,104.7,209.4,Winter
2024-02-01,Pants,Casual Pants,3,89.86,269.58,Winter
2024-02-01,Dress,Business Formal Dress,1,178.54,178.54,Winter
2024-02-01,Dress,Evening Cocktail Dress,1,138.76,138.76,Winter
2024-02-01,Blouse,Casual Top,3,67.64,202.92000000000002,Winter
2024-02-02,Pants,Casual Pants,2,102.83,205.66,Winter
2024-02-02,Pants,Casual Pants,1,190.58,190.58,Winter
2024-02-02,Blouse,Silk Blouse,1,81.15,81.15,Winter
2024-02-02,Dress,Business Formal Dress,3,190.73,572.1899999999999,Winter
2024-02-02,Dress,Evening Cocktail Dress,3,75.78,227.34,Winter
2024-02-02,Pants,Wide Leg Pants,2,162.46,324.92,Winter
2024-02-02,Dress,Casual Maxi Dress,2,130.99,261.98,Winter
2024-02-02,Blouse,Casual Top,1,106.24,106.24,Winter
2024-02-02,Dress,Business Formal Dress,2,64.93,129.86,Winter
2024-02-02,Pants,Business Trousers,1,94.62,94.62,Winter
2024-02-03,Pants,Jeans,1,168.98,168.98,Winter
2024-02-03,Pants,Wide Leg Pants,3,127.9,383.70000000000005,Winter
2024-02-03,Blouse,Casual Top,1,86.39,86.39,Winter
2024-02-03,Blouse,Silk Blouse,3,108.47,325.40999999999997,Winter
2024-02-03,Dress,Casual Maxi Dress,3,96.19,288.57,Winter
2024-02-03,Dress,Evening Cocktail Dress,2,96.21,192.42,Winter
2024-02-03,Dress,Evening Cocktail Dress,2,67.7,135.4,Winter
2024-02-03,Pants,Wide Leg Pants,1,120.61,120.61,Winter
2024-02-03,Blouse,Formal Blouse,1,66.31,66.31,Winter
2024-02-03,Pants,Wide Leg Pants,1,190.25,190.25,Winter
2024-02-03,Pants,Jeans,2,138.45,276.9,Winter
2024-02-03,Blouse,Silk Blouse,3,61.31,183.93,Winter
2024-02-03,Blouse,Silk Blouse,3,66.91,200.73,Winter
2024-02-03,Dress,Summer Floral Dress,1,193.85,193.85,Winter
2024-02-04,Dress,Casual Maxi Dress,2,202.78,405.56,Winter
2024-02-04,Dress,Casual Maxi Dress,1,158.62,158.62,Winter
2024-02-04,Pants,Casual Pants,3,113.19,339.57,Winter
2024-02-04,Blouse,Casual Top,2,104.66,209.32,Winter
2024-02-04,Blouse,Cotton Shirt,1,125.97,125.97,Winter
2024-02-04,Dress,Summer Floral Dress,1,187.43,187.43,Winter
2024-02-04,Blouse,Silk Blouse,3,121.52,364.56,Winter
2024-02-04,Blouse,Casual Top,1,94.26,94.26,Winter
2024-02-04,Dress,Evening Cocktail Dress,1,138.93,138.93,Winter
2024-02-04,Pants,Casual Pants,1,100.12,100.12,Winter
2024-02-04,Pants,Business Trousers,2,158.13,316.26,Winter
2024-02-04,Pants,Casual Pants,3,164.09,492.27,Winter
2024-02-05,Dress,Casual Maxi Dress,1,203.61,203.61,Winter
2024-02-05,Pants,Casual Pants,2,171.99,343.98,Winter
2024-02-05,Pants,Business Trousers,3,163.1,489.29999999999995,Winter
2024-02-05,Blouse,Casual Top,1,93.49,93.49,Winter
2024-02-05,Dress,Business Formal Dress,1,63.24,63.24,Winter
2024-02-05,Blouse,Formal Blouse,1,127.49,127.49,Winter
2024-02-05,Pants,Jeans,1,151.27,151.27,Winter
2024-02-05,Pants,Wide Leg Pants,2,94.35,188.7,Winter
2024-02-06,Blouse,Formal Blouse,3,80.37,241.11,Winter
2024-02-06,Blouse,Silk Blouse,2,57.2,114.4,Winter
